,week,category,weekly_rank,weekly_hours_viewed,cumulative_weeks_in_top_10,Show_title,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
1211,2022-04-03,Films (English),8,7000000,3,gemini man,movie,An over-the-hill hitman faces off against a younger clone of himself.,2019,PG-13,117 min,"Action, Adventure, Sci-Fi","China, United States",tt1025100,5.7,"113,927"
1213,2022-04-03,Films (English),10,6140000,1,escape room,movie,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,2019,PG-13,99 min,"Action, Adventure, Horror","United States, South Africa",tt5886046,6.4,"122,765"
1217,2022-04-03,Films (Non-English),4,3850000,1,ya veremos,movie,"Separated couple Rodrigo and Alejandra are required to see each other occasionally because they have joint custody of their son Santi. When they discover that Santi needs eyesight-saving surgery, Santi makes a pre-operation wishli...",2018,PG-13,85 min,Drama,Mexico,tt7948540,5.8,727
1221,2022-04-03,Films (Non-English),8,3120000,2,'83,movie,"On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.",2021,N/A,162 min,"Biography, Drama, History",India,tt7518786,7.5,"37,540"
1223,2022-04-03,Films (Non-English),10,2410000,9,through my window,MOVIE,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",2022.0,R,116.0,"['drama', 'romance', 'comedy']",['ES'],tt14463484,5.4,9082.0
1224,2022-04-03,TV (English),1,251740000,2,bridgerton,SHOW,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020.0,TV-MA,62.0,"['drama', 'history', 'romance']",['US'],tt8740790,7.3,129085.0
1225,2022-04-03,TV (English),2,53020000,2,bridgerton,SHOW,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020.0,TV-MA,62.0,"['drama', 'history', 'romance']",['US'],tt8740790,7.3,129085.0
1226,2022-04-03,TV (English),3,26510000,2,is it cake?,SHOW,"Skilled cake artists create mouthwatering replicas of handbags, sewing machines and more in a mind-bending baking contest inspired by a popular meme.",2022.0,TV-PG,39.0,['reality'],['US'],tt18314214,5.7,2411.0
1227,2022-04-03,TV (English),4,21960000,8,inventing anna,SHOW,"A journalist with a lot to prove investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New York’s social scene – and stole their money as well.",2022.0,TV-MA,68.0,['drama'],['US'],tt8740976,6.8,61061.0
1228,2022-04-03,TV (English),5,19110000,4,the last kingdom,SHOW,"A show of heroic deeds and epic battles with a thematic depth that embraces politics, religion, warfare, courage, love, loyalty and our universal search for identity. Combining real historical figures and events with fictional characters, it is the story of how a people combined their strength under one of the most iconic kings of history in order to reclaim their land for themselves and build a place they call home.",2015.0,TV-MA,55.0,"['action', 'drama', 'war', 'history', 'european']",['GB'],tt4179452,8.5,132561.0
1229,2022-04-03,TV (English),6,16490000,3,top boy,SHOW,"A thrilling and raw crime drama following a gang of drug dealers in Hackney, London - an honest and gripping rendition of inner-city drug and gang culture.",2011.0,TV-MA,48.0,"['drama', 'crime', 'thriller', 'european']",['GB'],tt1830379,8.4,24165.0
1230,2022-04-03,TV (English),6,16490000,3,top boy,SHOW,"Two seasoned drug dealers return to the gritty street of London, but their pursuit of money and power is threatened by a young and ruthless hustler.",2019.0,TV-MA,53.0,"['drama', 'crime']",['GB'],tt1830379,8.4,"25,798"
1231,2022-04-03,TV (English),7,16220000,5,pieces of her,series,"On her 30th birthday out for lunch with her mother suddenly explodes into violence, an adrift young woman's conception of her mother is forever changed.",2022–,TV-MA,1 min,"Crime, Drama, Mystery",United States,tt9170236,6.3,"25,949"
1232,2022-04-03,TV (English),8,13200000,2,top boy,SHOW,"A thrilling and raw crime drama following a gang of drug dealers in Hackney, London - an honest and gripping rendition of inner-city drug and gang culture.",2011.0,TV-MA,48.0,"['drama', 'crime', 'thriller', 'european']",['GB'],tt1830379,8.4,24165.0
1233,2022-04-03,TV (English),8,13200000,2,top boy,SHOW,"Two seasoned drug dealers return to the gritty street of London, but their pursuit of money and power is threatened by a young and ruthless hustler.",2019.0,TV-MA,53.0,"['drama', 'crime']",['GB'],tt1830379,8.4,"25,798"
1234,2022-04-03,TV (English),9,10050000,5,vikings: valhalla,SHOW,"In this sequel to ""Vikings,"" a hundred years have passed and a new generation of legendary heroes arises to forge its own destiny — and make history.",2022.0,TV-MA,51.0,"['war', 'action', 'drama', 'history', 'romance']",['US'],tt11311302,7.1,34833.0
1235,2022-04-03,TV (English),10,8310000,2,taboo,series,"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost--even murder.",2017–,TV-MA,59 min,"Drama, Mystery, Thriller",United Kingdom,tt3647998,8.3,"138,234"
1236,2022-04-03,TV (Non-English),1,32520000,4,business proposal,SHOW,An ordinary office worker disguises herself and goes on a blind date with her attractive boss in the place of her friend to end this unwanted marriage blind date after her request.,2022.0,TV-14,61.0,"['drama', 'romance', 'comedy']",['KR'],tt14819828,8.1,7806.0
1237,2022-04-03,TV (Non-English),2,26210000,6,twenty five twenty one,SHOW,"The dreams of two young people are crushed by an overwhelming financial crisis in the 1990s. But when they reunite at the ages of 25 and 21, the spirited pair finds friendship and affection in times of adversity as they venture into adulthood together.",2022.0,TV-14,76.0,"['drama', 'romance']",['KR'],tt17513352,8.7,5746.0
1238,2022-04-03,TV (Non-English),3,15230000,14,café con aroma de mujer,series,Love story between Gaviota and Sebastian. Gaviota is a poor harvester and Sebastian comes from a rich Colombian family.,1993–,N/A,60 min,"Drama, Romance",Colombia,tt0216459,8.4,621
1239,2022-04-03,TV (Non-English),4,15020000,6,forecasting love and weather,SHOW,"Inside a national weather service, love proves just as difficult to predict as rain or shine for a diligent forecaster and her free-spirited co-worker.",2022.0,TV-14,66.0,"['drama', 'romance']",['KR'],tt15140592,7.1,1617.0
1240,2022-04-03,TV (Non-English),5,13510000,4,thirty-nine,SHOW,"Leaning on each other through thick and thin, a trio of best friends stand together as they experience life, love and loss on the brink of turning 40.",2022.0,TV-MA,73.0,"['drama', 'romance']",['KR'],tt15309342,7.9,150.0
1241,2022-04-03,TV (Non-English),6,10890000,17,"yo soy betty, la fea",series,"An outcast in a prominent fashion company, a sweet-hearted and unattractive assistant falls hopelessly in love with her boss.",1999–2001,TV-PG,30 min,"Comedy, Drama, Romance",Colombia,tt0233127,8.2,"3,286"
1242,2022-04-03,TV (Non-English),7,9430000,10,all of us are dead,SHOW,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,2022.0,TV-MA,61.0,"['action', 'drama', 'scifi', 'horror', 'thriller', 'fantasy']",['KR'],tt14169960,7.5,45027.0
1243,2022-04-03,TV (Non-English),8,9340000,6,juvenile justice,SHOW,A tough judge balances her aversion to minor offenders with firm beliefs on justice and punishment as she tackles complex cases inside a juvenile court.,2022.0,TV-MA,61.0,"['drama', 'crime']",['KR'],tt15553922,8.0,2633.0
1244,2022-04-03,TV (Non-English),9,6640000,16,the queen of flow,SHOW,"After spending seventeen years in prison unfairly, a talented songwriter seeks revenge on the men who sank her and killed her family.",2018.0,TV-MA,45.0,"['drama', 'family', 'music']",['CO'],tt8560918,7.7,1247.0
1245,2022-04-03,TV (Non-English),10,5530000,1,pasión de gavilanes,series,"The Reyes brothers were three honest and good-natured men until the day a shocking, unforgettable tragedy sends them in search of revenge. Their plan takes an unexpected turn when they meet the three Elizondo sisters, the beautifu...",2003–2022,TV-MA,60 min,"Drama, Romance","Colombia, United States",tt0387763,7.8,"2,527"
1246,2022-03-27,Films (English),1,31700000,3,the adam project,MOVIE,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",2022.0,PG-13,106.0,"['drama', 'action', 'comedy', 'scifi']",['US'],tt2463208,6.7,183489.0
1248,2022-03-27,Films (English),3,16450000,2,gemini man,movie,An over-the-hill hitman faces off against a younger clone of himself.,2019,PG-13,117 min,"Action, Adventure, Sci-Fi","China, United States",tt1025100,5.7,"113,927"
1249,2022-03-27,Films (English),4,15490000,2,windfall,MOVIE,"A man breaks into a tech billionaire's empty vacation home, but things go sideways when the arrogant mogul and his wife arrive for a last-minute getaway.",2022.0,R,92.0,"['crime', 'drama', 'thriller']",['US'],tt15035360,5.7,20903.0
1250,2022-03-27,Films (English),5,7800000,1,john wick: chapter 2,movie,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",2017,R,122 min,"Action, Crime, Thriller","United States, Italy, Hong Kong, Canada",tt4425200,7.4,"428,960"
1251,2022-03-27,Films (English),6,7570000,1,the dead don't die,movie,The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.,2019,R,104 min,"Comedy, Fantasy, Horror",United States,tt8695030,5.4,"78,901"
1252,2022-03-27,Films (English),7,7440000,2,6 underground,MOVIE,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",2019.0,R,128.0,"['thriller', 'comedy', 'action']",['US'],tt8106534,6.1,172083.0
1253,2022-03-27,Films (English),8,6740000,2,a walk among the tombstones,MOVIE,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,2014.0,R,113.0,"['drama', 'thriller', 'action', 'crime']",['US'],tt0365907,6.5,121232.0
1254,2022-03-27,Films (English),9,6350000,4,shrek,movie,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",2001,PG,90 min,"Animation, Adventure, Comedy",United States,tt0126029,7.9,"673,516"
1255,2022-03-27,Films (English),10,5750000,7,despicable me 2,movie,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",2013,PG,98 min,"Animation, Adventure, Comedy","United States, France, Japan",tt1690953,7.3,"400,620"
1259,2022-03-27,Films (Non-English),4,10530000,1,'83,movie,"On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.",2021,N/A,162 min,"Biography, Drama, History",India,tt7518786,7.5,"37,540"
1261,2022-03-27,Films (Non-English),6,3030000,5,restless,MOVIE,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",2022.0,R,95.0,"['thriller', 'action', 'crime']","['BE', 'FR']",tt14465894,5.8,4174.0
1262,2022-03-27,Films (Non-English),7,2520000,8,through my window,MOVIE,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",2022.0,R,116.0,"['drama', 'romance', 'comedy']",['ES'],tt14463484,5.4,9082.0
1266,2022-03-27,TV (English),1,193020000,1,bridgerton,SHOW,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020.0,TV-MA,62.0,"['drama', 'history', 'romance']",['US'],tt8740790,7.3,129085.0
1267,2022-03-27,TV (English),2,48940000,1,is it cake?,SHOW,"Skilled cake artists create mouthwatering replicas of handbags, sewing machines and more in a mind-bending baking contest inspired by a popular meme.",2022.0,TV-PG,39.0,['reality'],['US'],tt18314214,5.7,2411.0
1268,2022-03-27,TV (English),3,32280000,1,bridgerton,SHOW,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",2020.0,TV-MA,62.0,"['drama', 'history', 'romance']",['US'],tt8740790,7.3,129085.0
1269,2022-03-27,TV (English),4,30640000,2,top boy,SHOW,"A thrilling and raw crime drama following a gang of drug dealers in Hackney, London - an honest and gripping rendition of inner-city drug and gang culture.",2011.0,TV-MA,48.0,"['drama', 'crime', 'thriller', 'european']",['GB'],tt1830379,8.4,24165.0
1270,2022-03-27,TV (English),4,30640000,2,top boy,SHOW,"Two seasoned drug dealers return to the gritty street of London, but their pursuit of money and power is threatened by a young and ruthless hustler.",2019.0,TV-MA,53.0,"['drama', 'crime']",['GB'],tt1830379,8.4,"25,798"
1271,2022-03-27,TV (English),5,28990000,7,inventing anna,SHOW,"A journalist with a lot to prove investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New York’s social scene – and stole their money as well.",2022.0,TV-MA,68.0,['drama'],['US'],tt8740976,6.8,61061.0
